Model Name,Column Name,Transaction Value (Count or Avg),Transcation Month (YYYY|MM),IsAnAnomaly,Snapshot Month (YYYYMM)
TABLE_1,Column_756,428838.84,2016|02,NO,202104
TABLE_1,Column_756,569641.2,2016|03,NO,202104
TABLE_1,Column_756,446080.47,2016|04,NO,202104
TABLE_1,Column_756,498157.66,2016|05,NO,202104
TABLE_1,Column_756,521634.1,2016|06,NO,202104
TABLE_1,Column_756,358430.38,2016|07,NO,202104
TABLE_1,Column_756,504529.25,2016|08,NO,202104
TABLE_1,Column_756,474050.28,2016|09,NO,202104
TABLE_1,Column_756,444273.6,2016|10,NO,202104
TABLE_1,Column_756,511913.3,2016|11,NO,202104
TABLE_1,Column_756,480305.8,2016|12,NO,202104
TABLE_1,Column_756,382137.88,2017|01,NO,202104
TABLE_1,Column_756,292426.16,2017|02,NO,202104
TABLE_1,Column_756,385666.88,2017|03,NO,202104
TABLE_1,Column_756,359671.06,2017|04,NO,202104
TABLE_1,Column_756,413768.4,2017|05,NO,202104
TABLE_1,Column_756,342422.7,2017|06,NO,202104
TABLE_1,Column_756,335090.62,2017|07,NO,202104
TABLE_1,Column_756,371793.4,2017|08,NO,202104
TABLE_1,Column_756,347227.6,2017|09,NO,202104
TABLE_1,Column_756,338267.12,2017|10,NO,202104
TABLE_1,Column_756,586275.75,2017|11,NO,202104
TABLE_1,Column_756,326027.94,2017|12,NO,202104
TABLE_1,Column_756,433782.56,2018|01,NO,202104
TABLE_1,Column_756,344684.3,2018|02,NO,202104
TABLE_1,Column_756,354040.97,2018|03,NO,202104
TABLE_1,Column_756,324572.9,2018|04,NO,202104
TABLE_1,Column_756,311909.22,2018|05,NO,202104
TABLE_1,Column_756,359636.97,2018|06,NO,202104
TABLE_1,Column_756,267324.53,2018|07,NO,202104
TABLE_1,Column_756,291977.5,2018|08,NO,202104
TABLE_1,Column_756,296764.97,2018|09,NO,202104
TABLE_1,Column_756,289214.3,2018|10,NO,202104
TABLE_1,Column_756,395873.88,2018|11,NO,202104
TABLE_1,Column_756,416018.16,2018|12,NO,202104
TABLE_1,Column_756,257142.88,2019|01,NO,202104
TABLE_1,Column_756,220692.55,2019|02,NO,202104
TABLE_1,Column_756,327801.7,2019|03,NO,202104
TABLE_1,Column_756,464744.66,2019|04,NO,202104
TABLE_1,Column_756,491171.94,2019|05,NO,202104
TABLE_1,Column_756,363917.37,2019|06,NO,202104
TABLE_1,Column_756,356570.97,2019|07,NO,202104
TABLE_1,Column_756,328335.47,2019|08,NO,202104
TABLE_1,Column_756,323545.88,2019|09,NO,202104
TABLE_1,Column_756,401148.94,2019|10,NO,202104
TABLE_1,Column_756,380796.84,2019|11,NO,202104
TABLE_1,Column_756,311098.47,2019|12,NO,202104
TABLE_1,Column_756,221028.52,2020|01,NO,202104
TABLE_1,Column_756,279545.35,2020|02,NO,202104
TABLE_1,Column_756,218035.94,2020|03,NO,202104
TABLE_1,Column_756,152977.98,2020|04,NO,202104
TABLE_1,Column_756,311187.1,2020|05,NO,202104
TABLE_1,Column_756,249915.28,2020|06,NO,202104
TABLE_1,Column_756,243800.52,2020|07,NO,202104
TABLE_1,Column_756,247019.8,2020|08,NO,202104
TABLE_1,Column_756,198631.2594,2020|09,NO,202104
TABLE_1,Column_756,316768.315,2020|10,NO,202104
TABLE_1,Column_756,238093.707,2020|11,NO,202104
TABLE_1,Column_756,265233.31,2020|12,NO,202104
TABLE_1,Column_756,160,2021|01,NO,202104
TABLE_1,Column_756,0,2021|02,NO,202104
TABLE_1,Column_756,528349.7,2016|01,NA,202103
TABLE_1,Column_756,428838.84,2016|02,NA,202103
TABLE_1,Column_756,569641.2,2016|03,NA,202103
TABLE_1,Column_756,446080.47,2016|04,NA,202103
TABLE_1,Column_756,498157.66,2016|05,NA,202103
TABLE_1,Column_756,521634.1,2016|06,NA,202103
TABLE_1,Column_756,358430.38,2016|07,NA,202103
TABLE_1,Column_756,504529.25,2016|08,NA,202103
TABLE_1,Column_756,474050.28,2016|09,NA,202103
TABLE_1,Column_756,444273.6,2016|10,NA,202103
TABLE_1,Column_756,511913.3,2016|11,NA,202103
TABLE_1,Column_756,480305.8,2016|12,NA,202103
TABLE_1,Column_756,382137.88,2017|01,NA,202103
TABLE_1,Column_756,292426.16,2017|02,NA,202103
TABLE_1,Column_756,385666.88,2017|03,NA,202103
TABLE_1,Column_756,359671.06,2017|04,NA,202103
TABLE_1,Column_756,413768.4,2017|05,NA,202103
TABLE_1,Column_756,342422.7,2017|06,NA,202103
TABLE_1,Column_756,335090.62,2017|07,NA,202103
TABLE_1,Column_756,371793.4,2017|08,NA,202103
TABLE_1,Column_756,347227.6,2017|09,NA,202103
TABLE_1,Column_756,338267.12,2017|10,NA,202103
TABLE_1,Column_756,586275.75,2017|11,NA,202103
